Jobs,Scheduler,Avg Wait (s),Miss %,Throughput (j/hr)
50,FIFO,1822.0,28.9,8
50,SJF,753.7,2.6,8
50,Priority,929.0,5.3,8
50,Hybrid,828.5,0.0,8
100,FIFO,10633.0,70.3,9
100,SJF,3065.7,23.0,8
100,Priority,3978.3,32.4,9
100,Hybrid,3737.8,1.4,8
200,FIFO,26402.4,83.2,10
200,SJF,6147.3,39.6,10
200,Priority,9871.6,67.1,11
200,Hybrid,7759.9,47.7,11
500,FIFO,75629.2,94.6,11
500,SJF,19228.3,72.4,10
500,Priority,34551.8,86.2,10
500,Hybrid,28409.9,95.1,10
1000,FIFO,160012.7,97.4,10
1000,SJF,38965.9,82.1,10
1000,Priority,74583.6,93.2,10
1000,Hybrid,57456.4,98.1,10
