Scenario,Scheduler,Avg Wait (s),P95 Wait (s),P99 Wait (s),Miss %,Throughput (j/hr),CV
Normal,FIFO,26402.4,58195.1,59019.2,83.2,10,0.79
Normal,SJF,6147.3,30375.0,44980.6,39.6,10,1.625
Normal,Priority,9871.6,39738.9,49101.1,67.1,11,1.186
Normal,Hybrid,7759.9,40173.3,49031.8,47.7,11,1.52
Volatile,FIFO,12558.9,30602.6,31349.1,78.0,16,0.852
Volatile,SJF,2590.0,12735.2,24578.5,42.5,18,1.928
Volatile,Priority,11361.9,30497.7,31348.9,75.5,16,0.96
Volatile,Hybrid,3198.5,15615.4,27124.1,50.0,19,1.75
Batch,FIFO,147291.6,280296.9,291822.3,93.8,2,0.591
Batch,SJF,114963.4,264487.3,284835.8,95.3,2,0.723
Batch,Priority,142948.7,279717.1,291369.7,90.6,2,0.613
Batch,Hybrid,143223.5,279669.7,291668.8,95.3,2,0.61
Mixed,FIFO,70843.0,132569.1,141218.2,91.9,5,0.579
Mixed,SJF,31529.9,112453.4,130909.2,62.2,5,1.187
Mixed,Priority,58551.5,124560.9,135249.3,88.3,5,0.624
Mixed,Hybrid,48231.4,123977.6,135314.3,70.3,5,0.883
